,eigVal,eigVec,Gain,Loss,Coupling bt. bands,Coupling bt. band1 and exciton,Coupling bt. band2 and exciton,Ecm,XC
12,"[1650.99304464+5.70768747e-15j 1533.81082016+3.46738612e-13j
 1525.1961352 -5.32160396e-13j]","[[ 0.06591406+0.00315168j  0.70480311+0.j         -0.40742847+0.57726835j]
 [ 0.06591406-0.00315168j  0.40275948-0.57838761j  0.70656684+0.j        ]
 [ 0.99563588+0.j         -0.07149305+0.03733486j -0.01797651-0.03469053j]]",6.1678068023493715,5,8,7.5,7.5,1530,1650
13,"[1650.99296574+2.55194086e-14j 1533.67381717+6.40765993e-13j
 1525.33321709-1.08828310e-13j]","[[ 0.06590885+0.00319959j  0.70483521+0.j         -0.39456435+0.58610681j]
 [ 0.06590885-0.00319959j  0.3898467 -0.58720714j  0.70654244+0.j        ]
 [ 0.99563627+0.j         -0.07057839+0.03785952j -0.01876872-0.0352604j ]]",6.262046278923645,5,8,7.5,7.5,1530,1650
14,"[1650.99288604+5.54683659e-14j 1533.53068424-1.18450955e-13j
 1525.47642972+3.49593420e-13j]","[[ 0.06590358+0.00324725j  0.37635713+0.59598242j  0.70651683+0.j        ]
 [ 0.06590358-0.00324725j  0.70486859+0.j         -0.38112394-0.59490384j]
 [ 0.99563665+0.j         -0.06962514-0.03837808j -0.01959827+0.0358308j ]]",6.355828380237672,5,8,7.5,7.5,1530,1650
15,"[1650.99280556+7.34605654e-14j 1533.38076969+2.52126411e-13j
 1525.62642475-2.88631101e-13j]","[[ 0.06589827+0.00329467j  0.70490339+0.j         -0.36704594+0.60365986j]
 [ 0.06589827-0.00329467j  0.36222947-0.60471365j  0.70648988+0.j        ]
 [ 0.99563705+0.j         -0.0686293 +0.03889026j -0.02046922-0.03640202j]]",6.449156435741087,5,8,7.5,7.5,1530,1650
16,"[1650.99272433+4.12227896e-14j 1533.22328151+1.16096684e-12j
 1525.78399416-4.18197303e-13j]","[[ 0.0658929 +0.00334184j  0.70493975+0.j         -0.35225588+0.61237534j]
 [ 0.0658929 -0.00334184j  0.34738925-0.61340098j  0.70646143+0.j        ]
 [ 0.99563744+0.j         -0.06758597+0.03939576j -0.02138647-0.03697442j]]",6.542033742570356,5,8,7.5,7.5,1530,1650
17,"[1650.99264234+1.51502685e-14j 1533.05724156+8.50251687e-13j
 1525.95011609-6.49201826e-13j]","[[ 0.06588749+0.00338878j  0.70497789+0.j         -0.33666174+0.62105075j]
 [ 0.06588749-0.00338878j  0.33174449-0.62204455j  0.70643128+0.j        ]
 [ 0.99563784+0.j         -0.06648909+0.03989417j -0.0223561 -0.03754845j]]",6.63446356594076,5,8,7.5,7.5,1530,1650
18,"[1650.99255962+2.06848292e-14j 1532.88141859+4.68112318e-13j
 1526.12602179-4.41385877e-13j]","[[ 0.06588202+0.00343549j  0.70501805+0.j         -0.32014774+0.62968662j]
 [ 0.06588202-0.00343549j  0.31517938-0.63064444j  0.70639919+0.j        ]
 [ 0.99563824+0.j         -0.06533106+0.04038499j -0.02338575-0.03812463j]]",6.726449139532666,5,8,7.5,7.5,1530,1650
19,"[1650.99247618+3.56376034e-14j 1532.69422645+6.31326933e-13j
 1526.31329737-2.26589740e-13j]","[[ 0.06587651+0.00348195j  0.70506055+0.j         -0.3025647 +0.63828352j]
 [ 0.06587651-0.00348195j  0.29754477-0.63920067j  0.70636481+0.j        ]
 [ 0.99563865+0.j         -0.06410204+0.0408676j  -0.02448526-0.03870365j]]",6.817993665872198,5,8,7.5,7.5,1530,1650
20,"[1650.99239203+1.76498017e-13j 1532.49356273+7.99332735e-13j
 1526.51404524-7.23283977e-13j]","[[ 0.06587095+0.00352818j  0.70510582+0.j         -0.28371488+0.64684213j]
 [ 0.06587095-0.00352818j  0.27864292-0.64771317j  0.70632774+0.j        ]
 [ 0.99563906+0.j         -0.06278903+0.04134113j -0.02566767-0.03928638j]]",6.9091003167063905,5,8,7.5,7.5,1530,1650
21,"[1650.99230719+7.78523059e-14j 1532.2765383 +5.55698791e-13j
 1526.7311545 -1.05967163e-12j]","[[ 0.06586535+0.00357419j  0.70515445+0.j         -0.26332657+0.65536324j]
 [ 0.06586535-0.00357419j  0.25820213-0.65618173j  0.70628737+0.j        ]
 [ 0.99563947+0.j         -0.06137412+0.04180444j -0.0269509 -0.03987402j]]",6.999772233372914,5,8,7.5,7.5,1530,1650
22,"[1650.99222167-1.49182797e-14j 1532.03899149+1.53617515e-12j
 1526.96878684-1.15011402e-12j]","[[ 0.0658597 +0.00361996j  0.70520729+0.j         -0.24100837+0.66384784j]
 [ 0.0658597 -0.00361996j  0.23583101-0.66460593j  0.70624287+0.j        ]
 [ 0.99563989+0.j         -0.05983153+0.04225587j -0.02836076-0.04046826j]]",7.09001252716449,5,8,7.5,7.5,1530,1650
23,"[1650.99213548-2.82282149e-14j 1531.77453031+1.35422341e-12j
 1527.23333421-8.98312978e-13j]","[[ 0.06585401+0.0036655j   0.70526562+0.j         -0.21615913+0.67229732j]
 [ 0.06585401-0.0036655j   0.21092842-0.67298499j  0.70619293+0.j        ]
 [ 0.99564031+0.j         -0.05812162+0.04269289j -0.0299369 -0.04107165j]]",7.179824279688042,5,8,7.5,7.5,1530,1650
24,"[1650.99204864-1.54986936e-14j 1531.47238124+1.65569586e-12j
 1527.53557011-1.55139844e-12j]","[[ 0.06584827+0.00371081j  0.70533166+0.j         -0.18776563+0.68071374j]
 [ 0.06584827-0.00371081j  0.18248113-0.68131739j  0.70613535+0.j        ]
 [ 0.99564073+0.j         -0.05617759+0.04311131j -0.03174614-0.04168846j]]",7.269210543218717,5,8,7.5,7.5,1530,1650
25,"[1650.99196116-5.98863178e-14j 1531.11148353+1.57560472e-12j
 1527.89655531-1.23921911e-12j]","[[ 0.06584249+0.0037559j   0.70540968+0.j         -0.15384714+0.68910088j]
 [ 0.06584249-0.0037559j   0.14850844-0.68959993j  0.70606584+0.j        ]
 [ 0.99564116+0.j         -0.05386884+0.04350294j -0.03391911-0.04232687j]]",7.35817434104883,5,8,7.5,7.5,1530,1650
26,"[1650.99187305-6.12568476e-14j 1530.63709306+3.35146496e-12j
 1528.37103389-3.51422768e-12j]","[[ 0.06583667+0.00380076j  0.70551086+0.j         -0.10925513+0.69746794j]
 [ 0.06583667-0.00380076j  0.10386181-0.69782397j  0.70597324+0.j        ]
 [ 0.99564159+0.j         -0.05085579+0.04384679j -0.03679539-0.04300793j]]",7.446718667831826,5,8,7.5,7.5,1530,1650
27,"[1650.99178432+1.84297022e-13j 1529.50410784+1.60490825e-01j
 1529.50410784-1.60490825e-01j]","[[ 0.06583081+0.0038454j   0.71325151+0.j         -0.00269496+0.69815517j]
 [ 0.06583081-0.0038454j  -0.00269496-0.69815517j  0.71325151+0.j        ]
 [ 0.99564202+0.j         -0.04428482+0.04339614j -0.04428482-0.04339614j]]",7.534846489921351,5,8,7.5,7.5,1530,1650
28,"[1650.99169499+2.94875235e-13j 1529.50415251+1.15949352e+00j
 1529.50415251-1.15949352e+00j]","[[ 0.06582491+0.00388982j  0.75771675+0.j         -0.00253659+0.64962671j]
 [ 0.06582491-0.00388982j -0.00253659-0.64962671j  0.75771675+0.j        ]
 [ 0.99564246+0.j         -0.04738924+0.03997858j -0.04738924-0.03997858j]]",7.622560745705506,5,8,7.5,7.5,1530,1650
29,"[1650.99160506+7.81597009e-14j 1529.50419747+1.63464871e+00j
 1529.50419747-1.63464871e+00j]","[[ 0.06581897+0.00393402j  0.77723122+0.j         -0.00247268+0.62614841j]
 [ 0.06581897-0.00393402j -0.00247268-0.62614841j  0.77723122+0.j        ]
 [ 0.99564289+0.j         -0.04874291+0.038312j   -0.04874291-0.038312j  ]]",7.709864345936351,5,8,7.5,7.5,1530,1650
30,"[1650.99151456+4.26325641e-14j 1529.50424272+2.00213439e+00j
 1529.50424272-2.00213439e+00j]","[[ 0.06581299+0.003978j    0.79150086+0.j         -0.00242788+0.60801082j]
 [ 0.06581299-0.003978j   -0.00242788-0.60801082j  0.79150086+0.j        ]
 [ 0.99564334+0.j         -0.04972924+0.03701804j -0.04972924-0.03701804j]]",7.796760174054773,5,8,7.5,7.5,1530,1650
31,"[1650.99142348-1.06581410e-13j 1529.50428826+2.31379692e+00j
 1529.50428826-2.31379692e+00j]","[[ 0.06580697+0.00402176j  0.80301462+0.j         -0.00239285+0.59272152j]
 [ 0.06580697-0.00402176j -0.00239285-0.59272152j  0.80301462+0.j        ]
 [ 0.99564378+0.j         -0.0505228 +0.03592254j -0.0505228 -0.03592254j]]",7.883251086510755,5,8,7.5,7.5,1530,1650
32,"[1650.99133185+1.49213975e-13j 1529.50433407+2.58983687e+00j
 1529.50433407-2.58983687e+00j]","[[ 0.06580092+0.00406531j  0.81275225+0.j         -0.00236396+0.57929747j]
 [ 0.06580092-0.00406531j -0.00236396-0.57929747j  0.81275225+0.j        ]
 [ 0.99564423+0.j         -0.05119225+0.03495687j -0.05119225-0.03495687j]]",7.969339913079139,5,8,7.5,7.5,1530,1650
33,"[1650.99123967+1.06581410e-13j 1529.50438016+2.84062975e+00j
 1529.50438016-2.84062975e+00j]","[[ 0.06579483+0.00410865j  0.82122185+0.j         -0.00233936+0.5672274j ]
 [ 0.06579483-0.00410865j -0.00233936-0.5672274j   0.82122185+0.j        ]
 [ 0.99564467+0.j         -0.05177319+0.03408536j -0.05177319-0.03408536j]]",8.05502945717097,5,8,7.5,7.5,1530,1650
34,"[1650.99114696+1.20792265e-13j 1529.50442652+3.07233862e+00j
 1529.50442652-3.07233862e+00j]","[[ 0.06578871+0.00415177j  0.82872803+0.j         -0.00231796+0.5562037j ]
 [ 0.06578871-0.00415177j -0.00231796-0.5562037j   0.82872803+0.j        ]
 [ 0.99564513+0.j         -0.05228693+0.03328657j -0.05228693-0.03328657j]]",8.140322496140467,5,8,7.5,7.5,1530,1650
35,"[1650.99105372-4.97379915e-14j 1529.50447314+3.28897558e+00j
 1529.50447314-3.28897558e+00j]","[[ 0.06578255+0.00419468j  0.83547086+0.j         -0.00229904+0.54602344j]
 [ 0.06578255-0.00419468j -0.00229904-0.54602344j  0.83547086+0.j        ]
 [ 0.99564558+0.j         -0.05274746+0.03254636j -0.05274746-0.03254636j]]",8.22522178158771,5,8,7.5,7.5,1530,1650
