,eigVal,eigVec,Gain,Loss,Coupling bt. bands,Coupling bt. band1 and exciton,Coupling bt. band2 and exciton,Ecm,XC
11,"[1668.22084209+6.27276009e-15j 1649.49474899-1.34654007e-13j
 1647.28440892+9.57864956e-15j]","[[ 6.59261281e-01+0.j          7.02764022e-01+0.j
  -2.52073669e-01-0.07508995j]
 [ 6.57624520e-01+0.04642658j -7.02675059e-01-0.01118178j
  -2.52073669e-01+0.07508995j]
 [ 3.61367986e-01+0.01273996j -8.80385220e-04+0.1106557j
   9.28246050e-01+0.j        ]]",0.6599999999999999,0.6599999999999999,8,5.0,5.0,1657.5,1650
12,"[1668.21699328-7.88258347e-14j 1649.49373583-6.68797629e-14j
 1647.28927089-2.99854920e-14j]","[[ 0.65925327+0.j         -0.70183728+0.01221322j -0.25140878-0.08187992j]
 [ 0.65730507+0.05064499j  0.70194354+0.j         -0.25140878+0.08187992j]
 [ 0.36135445+0.01390048j -0.00104943-0.12062102j  0.92745814+0.j        ]]",0.72,0.72,8,5.0,5.0,1657.5,1650
13,"[1668.21280824+1.40998324e-14j 1649.49262901+2.21303692e-14j
 1647.29456275-1.03165960e-13j]","[[ 0.65924455+0.j         -0.70092828+0.0132487j  -0.25068636-0.08866059j]
 [ 0.65695772+0.05486284j  0.70105348+0.j         -0.25068636+0.08866059j]
 [ 0.36133974+0.01506161j -0.00123381-0.13056226j  0.92660202+0.j        ]]",0.78,0.78,8,5.0,5.0,1657.5,1650
14,"[1668.20828657-5.96744876e-14j 1649.49142709-1.58114427e-13j
 1647.30028634+2.09494041e-13j]","[[ 0.65923512+0.j          0.70009427+0.j         -0.24990648-0.09543126j]
 [ 0.65658243+0.05908006j -0.69994844-0.01428862j -0.24990648+0.09543126j]
 [ 0.36132383+0.0162234j  -0.00143369+0.14047764j  0.92567773+0.j        ]]",0.84,0.84,8,5.0,5.0,1657.5,1650
15,"[1668.20342785-3.37785355e-14j 1649.49012846+9.56666970e-14j
 1647.30644369-1.14476618e-13j]","[[ 0.65922499+0.j         -0.69889817+0.01533341j -0.2490692 -0.10219126j]
 [ 0.65617919+0.06329662j  0.69906635+0.j         -0.2490692 +0.10219126j]
 [ 0.36130673+0.01738591j -0.00164926-0.15036539j  0.92468533+0.j        ]]",0.8999999999999999,0.8999999999999999,8,5.0,5.0,1657.5,1650
16,"[1668.19823162-9.13158438e-15j 1649.48873139+1.95896323e-13j
 1647.31303699-6.63939023e-14j]","[[ 0.65921415+0.j         -0.69777788+0.01638349j -0.24817459-0.10893993j]
 [ 0.65574795+0.06751246j  0.69797019+0.j         -0.24817459+0.10893993j]
 [ 0.36128843+0.01854918j -0.00188073-0.16022385j  0.92362488+0.j        ]]",0.96,0.96,8,5.0,5.0,1657.5,1650
17,"[1668.1926974 -3.03090886e-14j 1649.48723398+5.20747064e-14j
 1647.32006862+1.24715971e-13j]","[[ 0.6592026 +0.j         -0.69658802+0.01743931j -0.24722272-0.11567665j]
 [ 0.65528866+0.07172753j  0.69680628+0.j         -0.24722272+0.11567665j]
 [ 0.36126893+0.01971328j -0.00212831-0.17005139j  0.92249644+0.j        ]]",1.02,1.02,8,5.0,5.0,1657.5,1650
18,"[1668.18682467-6.12912499e-14j 1649.48563418-3.96134024e-15j
 1647.32754115-2.78763536e-14j]","[[ 0.65919034+0.j          0.69557514+0.j         -0.24621364-0.12240082j]
 [ 0.65480131+0.07594179j -0.69532904-0.01850137j -0.24621364+0.12240082j]
 [ 0.36124823+0.02087824j -0.00239226+0.17984642j  0.92130004+0.j        ]]",1.08,1.08,8,5.0,5.0,1657.5,1650
19,"[1668.18061286+2.38073450e-14j 1649.48392976+6.62027026e-14j
 1647.33545738-1.08736960e-13j]","[[ 0.65917737+0.j         -0.6940014 +0.01957015j -0.24514744-0.12911184j]
 [ 0.65428583+0.08015519j  0.69427727+0.j         -0.24514744+0.12911184j]
 [ 0.36122632+0.02204414j -0.00267284-0.18960746j  0.92003572+0.j        ]]",1.14,1.14,8,5.0,5.0,1657.5,1650
20,"[1668.1740614 -3.53224394e-14j 1649.4821183 +1.48739092e-14j
 1647.34382029+2.56265367e-14j]","[[ 0.65916367+0.j          0.69291323+0.j         -0.24402416-0.13580918j]
 [ 0.65374218+0.08436767j -0.69260558-0.02064619j -0.24402416+0.13580918j]
 [ 0.36120321+0.02321101j -0.00297035+0.19933308j  0.91870352+0.j        ]]",1.2,1.2,8,5.0,5.0,1657.5,1650
21,"[1668.16716967-5.46160339e-14j 1649.48019721+3.65728363e-13j
 1647.35263312-1.65930107e-13j]","[[ 0.65914926+0.j         -0.69114205+0.02173003j -0.24284387-0.14249232j]
 [ 0.65317032+0.08857918j  0.69148357+0.j         -0.24284387+0.14249232j]
 [ 0.36117888+0.02437892j -0.00328509-0.20902191j  0.91730343+0.j        ]]",1.26,1.26,8,5.0,5.0,1657.5,1650
22,"[1668.159937  +1.63896674e-14j 1649.47816368-1.16358268e-13j
 1647.36189933+1.71778068e-13j]","[[ 0.65913412+0.j          0.68998883+0.j         -0.24160662-0.14916077j]
 [ 0.6525702 +0.09278969j -0.68961129-0.02282227j -0.24160662+0.14916077j]
 [ 0.36115332+0.02554791j -0.00361743+0.21867268j  0.91583547+0.j        ]]",1.3199999999999998,1.3199999999999998,8,5.0,5.0,1657.5,1650
23,"[1668.1523627 -6.06563411e-14j 1649.47601467+5.51856796e-14j
 1647.37162263+1.71198207e-13j]","[[ 0.65911826+0.j          0.68842959+0.j         -0.24031244-0.15581408j]
 [ 0.65194175+0.09699912j -0.68801378-0.02392351j -0.24031244+0.15581408j]
 [ 0.36112655+0.02671804j -0.00396773+0.22828419j  0.91429962+0.j        ]]",1.38,1.38,8,5.0,5.0,1657.5,1650
24,"[1668.14444607+5.19202736e-14j 1649.47374694+1.75702623e-13j
 1647.38180699-2.55602829e-13j]","[[ 0.65128493-0.10120744j -0.68634998+0.02503442j -0.23896139-0.16245186j]
 [ 0.65910167+0.j          0.68680639+0.j         -0.23896139+0.16245186j]
 [ 0.36109854-0.02788937j -0.00433641-0.23785531j  0.91269584+0.j        ]]",1.44,1.44,8,5.0,5.0,1657.5,1650
25,"[1668.13618633-1.70474745e-13j 1649.47135697-5.08412228e-14j
 1647.3924567 +1.43739404e-13j]","[[ 0.65908435+0.j          0.68511982+0.j         -0.23755347-0.16907373j]
 [ 0.65059968+0.1054146j  -0.68462037-0.02615567j -0.23755347+0.16907373j]
 [ 0.3610693 +0.02906195j -0.0047239 +0.24738502j  0.91102406+0.j        ]]",1.5,1.5,8,5.0,5.0,1657.5,1650
26,"[1668.12758269-1.75241766e-14j 1649.46884099+8.01448242e-14j
 1647.40357632+1.63875539e-13j]","[[ 0.65906629+0.j         -0.68282537+0.02728802j -0.2360887 -0.17567936j]
 [ 0.64988593+0.10962053j  0.68337041+0.j         -0.2360887 +0.17567936j]
 [ 0.36103882+0.03023584j -0.0051307 -0.2568724j   0.90928421+0.j        ]]",1.56,1.56,8,5.0,5.0,1657.5,1650
27,"[1668.11863433+7.84719512e-14j 1649.46619494+9.94335253e-14j
 1647.41517073+2.71334310e-13j]","[[ 0.6590475 +0.j          0.68155872+0.j         -0.23456709-0.18226849j]
 [ 0.64914362+0.11382519j -0.68096542-0.02843223j -0.23456709+0.18226849j]
 [ 0.3610071 +0.03141108j -0.00555731+0.26631659j  0.90747615+0.j        ]]",1.6199999999999999,1.6199999999999999,8,5.0,5.0,1657.5,1650
28,"[1668.10934037+5.10425036e-14j 1649.46341444+3.14768020e-13j
 1647.42724519-2.84058047e-13j]","[[ 0.64837268-0.11802853j -0.67904091+0.02958914j -0.2329886 -0.18884089j]
 [ 0.65902797+0.j          0.67968528+0.j         -0.2329886 +0.18884089j]
 [ 0.36097412-0.03258775j -0.00600432-0.27571687j  0.90559972+0.j        ]]",1.68,1.68,8,5.0,5.0,1657.5,1650
29,"[1668.09969992+5.94524430e-14j 1649.4604948 +3.40945170e-13j
 1647.43980528-1.47208632e-13j]","[[ 0.64757304-0.12223049j -0.67705221+0.03075963j -0.23135321-0.19539638j]
 [ 0.65900769+0.j          0.67775059+0.j         -0.23135321+0.19539638j]
 [ 0.36093989-0.03376589j -0.00647233-0.28507261j  0.90365474+0.j        ]]",1.74,1.74,8,5.0,5.0,1657.5,1650
30,"[1668.08971204-2.07785178e-14j 1649.45743093-6.65396636e-14j
 1647.45285704+2.10070154e-13j]","[[ 0.65898666+0.j          0.67575514+0.j         -0.22966084-0.20193485j]
 [ 0.64674463+0.12643102j -0.67499966-0.03194465j -0.22966084+0.20193485j]
 [ 0.36090439+0.03494556j -0.00696201+0.2943833j   0.90164096+0.j        ]]",1.7999999999999998,1.7999999999999998,8,5.0,5.0,1657.5,1650
31,"[1668.07937574-1.55677554e-13j 1649.45421737-3.19588159e-14j
 1647.46640688+1.70297107e-13j]","[[ 0.65896488+0.j          0.67369938+0.j         -0.22791142-0.20845627j]
 [ 0.64588737+0.13063007j -0.67288354-0.03314522j -0.22791142+0.20845627j]
 [ 0.36086762+0.03612682j -0.0074741 +0.30364852j  0.89955808+0.j        ]]",1.8599999999999999,1.8599999999999999,8,5.0,5.0,1657.5,1650
32,"[1668.06869003-7.61161967e-14j 1649.45084824+1.51287980e-13j
 1647.48046174-4.02045490e-13j]","[[ 0.65894234+0.j         -0.67070407+0.0343624j  -0.22610481-0.21496064j]
 [ 0.64500118+0.13482758j  0.67158375+0.j         -0.22610481+0.21496064j]
 [ 0.36082957+0.03730973j -0.00800938-0.312868j    0.89740575+0.j        ]]",1.92,1.92,8,5.0,5.0,1657.5,1650
33,"[1668.05765383+5.16670040e-14j 1649.44731715+4.64592943e-13j
 1647.49502901-3.63850113e-13j]","[[ 0.65891904+0.j         -0.66846145+0.03559737j -0.22424088-0.22144806j]
 [ 0.64408599+0.1390235j   0.66940861+0.j         -0.22424088+0.22144806j]
 [ 0.36079023+0.03849434j -0.00856872-0.32204161j  0.89518354+0.j        ]]",1.98,1.98,8,5.0,5.0,1657.5,1650
34,"[1668.04626608-1.69794734e-14j 1649.44361725+2.10600777e-13j
 1647.51011667-3.37142913e-13j]","[[ 0.65889497+0.j         -0.66615578+0.03685138j -0.22231943-0.22791871j]
 [ 0.6431417 +0.14321777j  0.6671743 +0.j         -0.22231943+0.22791871j]
 [ 0.36074961+0.03968072j -0.00915306-0.33116932j  0.89289096+0.j        ]]",2.04,2.04,8,5.0,5.0,1657.5,1650
35,"[1668.03452562+1.43635104e-15j 1649.43974109+4.32386320e-13j
 1647.5257333 -6.81879479e-13j]","[[ 0.64216824-0.14741033j -0.66378709+0.03812576j -0.22034024-0.23437284j]
 [ 0.65887013+0.j          0.6648811 +0.j         -0.22034024+0.23437284j]
 [ 0.36070768-0.04086892j -0.00976342-0.34025128j  0.89052743+0.j        ]]",2.1,2.1,8,5.0,5.0,1657.5,1650
36,"[1668.02243129-1.64035452e-14j 1649.4356806 +5.33715725e-13j
 1647.54188811-4.43406799e-13j]","[[ 0.65884452+0.j         -0.66135531+0.03942197j -0.21830302-0.24081081j]
 [ 0.6411655 +0.15160114j  0.6625292 +0.j         -0.21830302+0.24081081j]
 [ 0.36066444+0.04205901j -0.01040092-0.34928777j  0.88809227+0.j        ]]",2.16,2.16,8,5.0,5.0,1657.5,1650
37,"[1668.00998188+5.17849652e-14j 1649.43142703-2.78117261e-14j
 1647.55859109-8.46525994e-14j]","[[ 0.65881813+0.j          0.66011874+0.j         -0.21620744-0.24723309j]
 [ 0.64013339+0.15579012j -0.65886029-0.04074158j -0.21620744+0.24723309j]
 [ 0.36061988+0.04325105j -0.01106679+0.35827925j  0.88558471+0.j        ]]",2.2199999999999998,2.2199999999999998,8,5.0,5.0,1657.5,1650
38,"[1667.99717614+5.92789706e-14j 1649.42697089+3.42276136e-13j
 1647.57585298-4.95079418e-13j]","[[ 0.65879095+0.j         -0.65630174+0.04208628j -0.21405311-0.25364023j]
 [ 0.63907182+0.15997724j  0.65764978+0.j         -0.21405311+0.25364023j]
 [ 0.360574  +0.04444509j -0.01176237-0.36722634j  0.88300385+0.j        ]]",2.28,2.28,8,5.0,5.0,1657.5,1650
39,"[1667.98401276-5.81201753e-14j 1649.42230181+2.33138174e-13j
 1647.59368543+2.93350310e-14j]","[[ 0.65876298+0.j         -0.65367926+0.04345791j -0.21183957-0.26003295j]
 [ 0.63798069+0.16416242j  0.65512226+0.j         -0.21183957+0.26003295j]
 [ 0.36052679+0.04564121j -0.01248915-0.37612987j  0.88034863+0.j        ]]",2.34,2.34,8,5.0,5.0,1657.5,1650
40,"[1667.97049042-9.33558786e-14j 1649.41740851+4.49173044e-13j
 1647.61210108-4.00555759e-13j]","[[ 0.65873421+0.j         -0.6509923 +0.04485848j -0.20956628-0.26641208j]
 [ 0.63685989+0.1683456j   0.65253602+0.j         -0.20956628+0.26641208j]
 [ 0.36047822+0.04683946j -0.01324874-0.38499086j  0.87761789+0.j        ]]",2.4,2.4,8,5.0,5.0,1657.5,1650
41,"[1667.95660773-1.70162495e-13j 1649.41227862+1.03659201e-13j
 1647.63111365-2.79680890e-13j]","[[ 0.65870464+0.j         -0.64824011+0.04629018j -0.2072326 -0.2727786j ]
 [ 0.63570931+0.17252674j  0.64989078+0.j         -0.2072326 +0.2727786j ]
 [ 0.36042831+0.0480399j  -0.01404293-0.39381054j  0.87481024+0.j        ]]",2.46,2.46,8,5.0,5.0,1657.5,1650
42,"[1667.94236326-4.25354196e-15j 1649.40689862+3.56968584e-13j
 1647.65073812-3.71584143e-13j]","[[ 0.65867426+0.j         -0.64542179+0.04775539j -0.20483781-0.27913369j]
 [ 0.63452885+0.17670576j  0.64718611+0.j         -0.20483781+0.27913369j]
 [ 0.36037703+0.04924261j -0.0148737 -0.40259042j  0.87192414+0.j        ]]",2.52,2.52,8,5.0,5.0,1657.5,1650
43,"[1667.92775555-1.67754699e-13j 1649.40125364+1.56051172e-14j
 1647.67099081-1.90257086e-13j]","[[ 0.65864307+0.j         -0.64253618+0.04925674j -0.20238107-0.28547869j]
 [ 0.63331838+0.18088261j  0.64442142+0.j         -0.20238107+0.28547869j]
 [ 0.36032437+0.05044765j -0.01574324-0.41133223j  0.86895779+0.j        ]]",2.58,2.58,8,5.0,5.0,1657.5,1650
44,"[1667.91278307+1.98847883e-13j 1649.39532729+2.62440883e-13j
 1647.69188964-5.10595641e-13j]","[[ 0.6320778 -0.18505723j -0.6395819 +0.05079711j -0.19986139-0.29181519j]
 [ 0.65861105+0.j          0.64159594+0.j         -0.19986139+0.29181519j]
 [ 0.36027033-0.05165507j -0.01665399-0.42003803j  0.86590914+0.j        ]]",2.6399999999999997,2.6399999999999997,8,5.0,5.0,1657.5,1650
45,"[1667.89744428-9.46118184e-14j 1649.38910144+4.32499840e-13j
 1647.71345428-1.34621659e-13j]","[[ 0.65857821+0.j         -0.63655725+0.05237969j -0.19727765-0.29814498j]
 [ 0.63080698+0.18922955j  0.63870867+0.j         -0.19727765+0.29814498j]
 [ 0.36021489+0.05286496j -0.01760864-0.42871018j  0.86277587+0.j        ]]",2.6999999999999997,2.6999999999999997,8,5.0,5.0,1657.5,1650
46,"[1667.88173754-8.96852037e-15j 1649.38255602+5.57193001e-13j
 1647.73570644-7.40675885e-13j]","[[ 0.65854454+0.j         -0.63346021+0.054008j   -0.19462855-0.30447019j]
 [ 0.62950579+0.1933995j   0.63575836+0.j         -0.19462855+0.30447019j]
 [ 0.36015805+0.05407738j -0.01861025-0.43735142j  0.85955527+0.j        ]]",2.76,2.76,8,5.0,5.0,1657.5,1650
47,"[1667.86566122-7.30977778e-14j 1649.37566866+7.53325503e-13j
 1647.75867012-3.76259737e-13j]","[[ 0.65851002+0.j         -0.63028837+0.05568597j -0.19191259-0.31079321j]
 [ 0.62817411+0.19756704j  0.63274351+0.j         -0.19191259+0.31079321j]
 [ 0.36009978+0.05529239j -0.0196622 -0.4459649j   0.85624429+0.j        ]]",2.82,2.82,8,5.0,5.0,1657.5,1650
48,"[1667.84921359-2.30815367e-13j 1649.36841438+6.23387289e-13j
 1647.78237203-3.76102645e-13j]","[[ 0.65847466+0.j         -0.62703886+0.05741798j -0.18912804-0.31711684j]
 [ 0.62681181+0.20173208j  0.62966226+0.j         -0.18912804+0.31711684j]
 [ 0.36004008+0.05651008j -0.02076833-0.45455424j  0.85283936+0.j        ]]",2.88,2.88,8,5.0,5.0,1657.5,1650
49,"[1667.8323929 -4.32778813e-14j 1649.36076513+3.77735997e-13j
 1647.80684197-1.14825197e-14j]","[[ 0.65843844+0.j         -0.6237083 +0.05920895j -0.1862729 -0.32344431j]
 [ 0.62541874+0.20589457j  0.62651236+0.j         -0.1862729 +0.32344431j]
 [ 0.35997894+0.05773049j -0.02193298-0.46312359j  0.84933643+0.j        ]]",2.94,2.94,8,5.0,5.0,1657.5,1650
50,"[1667.81519735+8.49667559e-14j 1649.35268927+6.45119126e-13j
 1647.83211339-1.04281197e-12j]","[[ 0.62399477-0.21005443j -0.62029265+0.06106441j -0.18334484-0.32977933j]
 [ 0.65840135+0.j          0.62329113+0.j         -0.18334484+0.32977933j]
 [ 0.35991634-0.05895372j -0.02316106-0.47167774j  0.84573077+0.j        ]]",3.0,3.0,8,5.0,5.0,1657.5,1650
51,"[1667.79762506-9.12568632e-14j 1649.34415092+5.44106676e-13j
 1647.85822402-2.10929803e-13j]","[[ 0.6583634 +0.j         -0.61678716+0.06299066j -0.18034116-0.33612621j]
 [ 0.62253976+0.21421161j  0.61999534+0.j         -0.18034116+0.33612621j]
 [ 0.35985227+0.06017983j -0.02445823-0.4802222j   0.84201691+0.j        ]]",3.06,3.06,8,5.0,5.0,1657.5,1650
52,"[1667.77967412+7.37257477e-15j 1649.33510917+5.12935194e-13j
 1647.88521671-4.15126638e-13j]","[[ 0.62105355-0.21836602j -0.61318615+0.06499485j -0.1772587 -0.34249j   ]
 [ 0.65832457+0.j          0.6166211 +0.j         -0.1772587 +0.34249j   ]
 [ 0.35978672-0.06140889j -0.02583096-0.48876333j  0.83818847+0.j        ]]",3.12,3.12,8,5.0,5.0,1657.5,1650
53,"[1667.76134257+2.59424426e-13j 1649.32551703+3.08068280e-13j
 1647.9131404 -5.39266964e-13j]","[[ 0.61953599-0.22251761j -0.6094829 +0.06708523j -0.17409375-0.34887657j]
 [ 0.65828484+0.j          0.61316379+0.j         -0.17409375+0.34887657j]
 [ 0.35971966-0.06264099j -0.02728675-0.49730853j  0.83423798+0.j        ]]",3.1799999999999997,3.1799999999999997,8,5.0,5.0,1657.5,1650
54,"[1667.74262837-6.42437492e-14j 1649.31532015+8.38899329e-13j
 1647.94205148-6.99323517e-13j]","[[ 0.65824422+0.j         -0.60566934+0.06927131j -0.17084196-0.35529284j]
 [ 0.61798693+0.22666629j  0.6096178 +0.j         -0.17084196+0.35529284j]
 [ 0.3596511 +0.06387619j -0.02883436-0.50586643j  0.83015664+0.j        ]]",3.2399999999999998,3.2399999999999998,8,5.0,5.0,1657.5,1650
55,"[1667.72352944-6.04620520e-14j 1649.30445513+2.36484992e-13j
 1647.97201542-3.89101597e-13j]","[[ 0.6582027 +0.j         -0.6017358 +0.07156422j -0.16749814-0.36174701j]
 [ 0.61640621+0.23081201j  0.60597641+0.j         -0.16749814+0.36174701j]
 [ 0.35958101+0.06511457j -0.03048409-0.51444718j  0.82593398+0.j        ]]",3.3,3.3,8,5.0,5.0,1657.5,1650
56,"[1667.70404365-3.46753876e-13j 1649.29284734+9.50655453e-13j
 1648.00310901-1.05802836e-12j]","[[ 0.65816026+0.j         -0.59767055+0.07397705j -0.16405608-0.36824888j]
 [ 0.61479365+0.23495467j  0.60223142+0.j         -0.16405608+0.36824888j]
 [ 0.35950937+0.06635622j -0.03224817-0.52306279j  0.82155751+0.j        ]]",3.36,3.36,8,5.0,5.0,1657.5,1650
